,index,Timestamp,Dia_Spline3_Base,Event
0,1482,-884747.381064,0.23631182276400864,sitting
1,1483,-884747.372986,0.23631633026164423,sitting
2,1484,-884747.364546,0.2368349087045658,sitting
3,1485,-884747.3588170001,0.23788054980396112,sitting
4,1486,-884747.352331,0.2394662452710321,sitting
5,1487,-884747.344434,0.2416049868169381,sitting
6,1488,-884747.336503,0.24430976615288102,sitting
7,1489,-884747.3285310001,0.2475935749899989,sitting
8,1490,-884747.3163300001,0.2514694050395292,sitting
9,1491,-884747.307703,0.255950248012617,sitting
10,1492,-884747.3000170001,0.2610490956204501,sitting
11,1493,-884747.2920670001,0.26677893957420906,sitting
12,1494,-884747.284208,0.27315277158508877,sitting
13,1495,-884747.275193,0.28018358336424853,sitting
14,1496,-884747.2669480001,0.2878843666228903,sitting
15,1497,-884747.259009,0.2962681130721876,sitting
16,1498,-884747.251067,0.30534781442331393,sitting
17,1499,-884747.241482,0.3151364623874571,sitting
18,1500,-884747.23496,0.32564704867580474,sitting
19,1501,-884747.227414,0.33689256499952336,sitting
20,1502,-884747.220452,0.34888600306980067,sitting
21,1503,-884747.2124590001,0.3616403545978386,sitting
22,1504,-884747.204355,0.3751686112947752,sitting
23,1505,-884747.196481,0.38948376487182657,sitting
24,1506,-884747.188177,0.40459880704016626,sitting
25,1507,-884747.18028,0.4205267295109607,sitting
26,1508,-884747.17231,0.43728052399541184,sitting
27,1509,-884747.163432,1.4347095489501953,sitting
28,1510,-884747.153397,1.714674949645996,sitting
29,1511,-884747.147225,1.9017791748046875,sitting
30,1512,-884747.14025,2.0200581550598145,sitting
31,1513,-884747.132372,2.138239860534668,sitting
32,1514,-884747.123054,2.0355658531188965,sitting
33,1515,-884747.115012,1.9465065002441406,sitting
34,1516,-884747.104089,2.0881290435791016,sitting
35,1517,-884747.097193,2.151028633117676,sitting
36,1518,-884747.088783,2.0823311805725098,sitting
37,1519,-884747.078574,2.0517091751098633,sitting
38,1520,-884747.0705040001,1.0890309810638428,sitting
39,1521,-884747.062567,-0.7735705375671387,sitting
40,1522,-884747.054454,-1.5827980041503906,sitting
41,1523,-884747.047268,-1.4391839504241943,sitting
42,1524,-884747.0379240001,-1.401829719543457,sitting
43,1525,-884747.029814,-1.3216419219970703,sitting
44,1526,-884747.024732,-1.1455650329589844,sitting
45,1527,-884747.018184,-0.8790485858917236,sitting
46,1528,-884747.012217,-0.44717860221862793,sitting
47,1529,-884747.003246,0.01493072509765625,sitting
48,1530,-884746.996368,0.3911876678466797,sitting
49,1531,-884746.988488,0.6031136512756348,sitting
50,1532,-884746.9804240001,0.8116893768310547,sitting
51,1533,-884746.970964,1.2010307312011719,sitting
52,1534,-884746.963612,1.50889253616333,sitting
53,1535,-884746.956509,1.5805354118347168,sitting
54,1536,-884746.948498,1.577803134918213,sitting
55,1537,-884746.940094,1.642472743988037,sitting
56,1538,-884746.932304,1.7308573722839355,sitting
57,1539,-884746.923345,1.6578936576843262,sitting
58,1540,-884746.915311,1.4782562255859375,sitting
59,1541,-884746.907722,1.3981637954711914,sitting
60,1542,-884746.8987970001,1.3987798690795898,sitting
61,1543,-884746.887625,1.405609130859375,sitting
62,1544,-884746.879459,1.4839491844177246,sitting
63,1545,-884746.8678540001,1.6635479927062988,sitting
64,1546,-884746.860275,1.770218849182129,sitting
65,1547,-884746.848539,1.7416157722473145,sitting
66,1548,-884746.8390190001,1.7149085998535156,sitting
67,1549,-884746.831179,1.6104974746704102,sitting
68,1550,-884746.824426,1.443425178527832,sitting
69,1551,-884746.816488,1.438758373260498,sitting
70,1552,-884746.808502,1.5324597358703613,sitting
71,1553,-884746.800486,1.639878273010254,sitting
72,1554,-884746.792311,1.7571568489074707,sitting
73,1555,-884746.781172,1.7770438194274902,sitting
74,1556,-884746.7721780001,1.6843557357788086,sitting
75,1557,-884746.765247,1.6915826797485352,sitting
76,1558,-884746.759015,1.8149223327636719,sitting
77,1559,-884746.752345,1.8250236511230469,sitting
78,1560,-884746.744447,1.7702550888061523,sitting
79,1561,-884746.736323,1.672889232635498,sitting
80,1562,-884746.723898,1.5588054656982422,sitting
81,1563,-884746.715192,1.6197195053100586,sitting
82,1564,-884746.704855,1.7318062782287598,sitting
83,1565,-884746.6956580001,1.7449846267700195,sitting
84,1566,-884746.68097,1.8484668731689453,sitting
85,1567,-884746.670672,2.07550048828125,sitting
86,1568,-884746.6591320001,2.1628270149230957,sitting
87,1569,-884746.6506320001,1.93290376663208,sitting
88,1570,-884746.640578,1.7320127487182617,sitting
89,1571,-884746.632059,1.9341392517089844,sitting
90,1572,-884746.622024,2.217517852783203,sitting
91,1573,-884746.613091,2.4014530181884766,sitting
92,1574,-884746.607129,2.7066140174865723,sitting
93,1575,-884746.599558,2.9615330696105957,sitting
94,1576,-884746.591177,2.9382643699645996,sitting
95,1577,-884746.584216,2.899517059326172,sitting
96,1578,-884746.576428,2.8018417358398438,sitting
97,1579,-884746.567381,2.6087632179260254,sitting
98,1580,-884746.560309,2.6861515045166016,sitting
99,1581,-884746.552362,2.713651180267334,sitting
100,1582,-884746.543188,2.474994659423828,sitting
101,1583,-884746.535189,2.456007957458496,sitting
102,1584,-884746.527385,2.747673511505127,sitting
103,1585,-884746.520318,2.9600229263305664,sitting
104,1586,-884746.511782,2.8766117095947266,sitting
105,1587,-884746.503351,2.7788310050964355,sitting
106,1588,-884746.4958040001,2.77085018157959,sitting
107,1589,-884746.487133,2.590221881866455,sitting
108,1590,-884746.478043,2.3689064979553223,sitting
109,1591,-884746.4696750001,2.3266820907592773,sitting
