,Timestamp,Confidence,Diameter,Event
0,875896.056888,0.2313053371961659,11.856271743774414,default
1,875896.075673,0.0,0.0,default
2,875896.087506,0.0,0.0,default
3,875896.101102,0.0,0.0,default
4,875896.1148549999,0.0,0.0,default
5,875896.129571,0.0,0.0,default
6,875896.141398,0.0,0.0,default
7,875896.152514,0.0,0.0,default
8,875896.166269,0.0,0.0,default
9,875896.177986,0.0,0.0,default
10,875896.187274,0.0,0.0,default
11,875896.201757,0.0,0.0,default
12,875896.212647,0.4538929786007422,6.244652271270752,default
13,875896.223944,0.37182853499021495,6.157943725585938,default
14,875896.237391,0.0,0.0,default
15,875896.251422,0.0,0.0,default
16,875896.261402,0.0,0.0,default
17,875896.274964,0.0,0.0,default
18,875896.288619,0.0,0.0,default
19,875896.305356,0.0,0.0,default
20,875896.318369,0.0,0.0,default
21,875896.333448,0.0,0.0,default
22,875896.34573,0.0,0.0,default
23,875896.365858,0.0,0.0,default
24,875896.376679,0.0,0.0,default
25,875896.386674,0.0,0.0,default
26,875896.399226,0.0,0.0,default
27,875896.408462,0.0,0.0,default
28,875896.420407,0.0,0.0,default
29,875896.434483,0.0,0.0,default
30,875896.452128,0.0,0.0,default
31,875896.470028,0.0,0.0,default
32,875896.479911,0.3881029565655061,6.680765628814698,default
33,875896.493114,0.0,0.0,default
34,875896.506442,0.4307279181396451,6.084238529205322,default
35,875896.523422,0.0,0.0,default
36,875896.53758,0.0,0.0,default
37,875896.555378,0.0,0.0,default
38,875896.567829,0.0,0.0,default
39,875896.586129,0.27480344008736896,11.761300086975098,default
40,875896.602595,0.0,0.0,default
41,875896.621805,0.0,0.0,default
42,875896.633545,0.3526711122388544,12.206599235534668,default
43,875896.6506609999,0.0,0.0,default
44,875896.663191,0.0,0.0,default
45,875896.681271,0.0,0.0,default
46,875896.693028,0.0,0.0,default
47,875896.707267,0.0,0.0,default
48,875896.720399,0.2573948925225104,15.28111171722412,default
49,875896.737665,0.0,0.0,default
50,875896.754169,0.0,0.0,default
51,875896.766208,0.40822778151614536,6.813278675079346,default
52,875896.779119,0.0,0.0,default
53,875896.790378,0.0,0.0,default
54,875896.803584,0.0,0.0,default
55,875896.8153349999,0.0,0.0,default
56,875896.829743,0.0,0.0,default
57,875896.842398,0.0,0.0,default
58,875896.857273,0.0,0.0,default
59,875896.869256,0.0,0.0,default
60,875896.883885,0.0,0.0,default
61,875896.900207,0.0,0.0,default
62,875896.913734,0.2437439623614354,17.434463500976562,default
63,875896.927913,0.0,0.0,default
64,875896.946727,0.0,0.0,default
65,875896.959207,0.0,0.0,default
66,875896.973911,0.0,0.0,default
67,875896.986807,0.0,0.0,default
68,875897.000384,0.0,0.0,default
69,875897.018389,0.0,0.0,default
70,875897.030574,0.0,0.0,default
71,875897.043842,0.0,0.0,default
72,875897.054962,0.0,0.0,default
73,875897.068047,0.0,0.0,default
74,875897.078342,0.0,0.0,default
75,875897.092758,0.33332513229970895,5.280960083007812,default
76,875897.105109,0.4545754013822862,5.872851848602295,default
77,875897.119455,0.3415302336215973,5.770637512207031,default
78,875897.131864,0.41917434334754944,5.469469547271728,default
79,875897.146452,0.0,0.0,default
80,875897.162711,0.3734381109251005,6.21719217300415,default
81,875897.174407,0.0,0.0,default
82,875897.188716,0.2677008196179982,19.605810165405273,default
83,875897.201546,0.0,0.0,default
84,875897.216303,0.0,0.0,default
85,875897.232197,0.0,0.0,default
86,875897.244535,0.0,0.0,default
87,875897.258957,0.0,0.0,default
88,875897.269203,0.37009494245928826,11.498884201049805,default
89,875897.285435,0.0,0.0,default
90,875897.296589,0.30413334139067777,7.50535535812378,default
91,875897.311188,0.0,0.0,default
92,875897.32352,0.0,0.0,default
93,875897.340462,0.0,0.0,default
94,875897.3531279999,0.0,0.0,default
95,875897.367066,0.0,0.0,default
96,875897.377503,0.0,0.0,default
97,875897.390954,0.0,0.0,default
98,875897.400839,0.0,0.0,default
99,875897.413373,0.0,0.0,default
100,875897.424579,0.0,0.0,default
101,875897.439313,0.0,0.0,default
102,875897.4509919999,0.0,0.0,default
103,875897.463142,0.3868035652740659,5.595551490783692,default
104,875897.475042,0.0,0.0,default
105,875897.487952,0.0,0.0,default
106,875897.500356,0.0,0.0,default
107,875897.513686,0.0,0.0,default
108,875897.524929,0.0,0.0,default
109,875897.540272,0.0,0.0,default
110,875897.557479,0.33956482480942146,5.465003490447998,default
111,875897.574743,0.0,0.0,default
112,875897.586773,0.0,0.0,default
113,875897.597318,0.0,0.0,default
114,875897.608753,0.3364762477831313,7.582643985748291,default
115,875897.62565,0.34035372734069824,7.46145248413086,default
116,875897.637892,0.3740256130695343,7.606626987457275,default
117,875897.653393,0.3420392572879791,7.770324230194092,default
118,875897.6670659999,0.3414328098297119,7.93175220489502,default
119,875897.682383,0.7032122564315796,15.21061372756958,default
120,875897.693507,0.47955578565597534,16.81984806060791,default
121,875897.711551,0.38960176706314087,7.472399234771728,default
122,875897.72383,0.39762699604034424,7.346179485321045,default
123,875897.742825,0.818501561413421,15.177262306213379,default
124,875897.75469,0.7877494782895869,17.855398178100586,default
125,875897.77053,0.6005908333436811,24.433995246887207,default
126,875897.782623,0.0,0.0,default
127,875897.795787,0.0,0.0,default
128,875897.8080889999,0.0,0.0,default
129,875897.8230259999,0.0,0.0,default
130,875897.8356,0.27578912217767537,11.999720573425291,default
131,875897.848753,0.0,0.0,default
132,875897.86139,0.0,0.0,default
133,875897.8755409999,0.0,0.0,default
134,875897.887426,0.36070254379069566,7.73718786239624,default
135,875897.900519,0.0,0.0,default
