,index,Timestamp,Dia_Spline3_Base,Event
0,797,189311.541077,0.17290968994316214,sitting
1,798,189311.548131,0.16617975774517446,sitting
2,799,189311.560793,0.15751587876759254,sitting
3,800,189311.570478,0.15486223493818407,sitting
4,801,189311.579967,0.15505462055834895,sitting
5,802,189311.5874,0.15078001053670498,sitting
6,803,189311.596141,0.14140141516516236,sitting
7,804,189311.603284,0.14257430874747912,sitting
8,805,189311.611759,0.15431456314717473,sitting
9,806,189311.622837,0.15620530695482993,sitting
10,807,189311.634006,0.14960492732750175,sitting
11,808,189311.643515,0.15088258705989865,sitting
12,809,189311.658101,0.15314493608123625,sitting
13,810,189311.670082,0.14390819054380843,sitting
14,811,189311.681391,-0.0950931724296189,sitting
15,812,189311.690689,-0.5439369440133528,sitting
16,813,189311.700831,-0.7485834403228622,sitting
17,814,189311.711624,-0.7555047952218956,sitting
18,815,189311.721343,-0.5460207874439217,sitting
19,816,189311.729913,-0.31556668880477856,sitting
20,817,189311.740711,-0.308578065061176,sitting
21,818,189311.748633,-0.3025275244018595,sitting
22,819,189311.763499,-0.32329866865973833,sitting
23,820,189311.775415,-0.10890063351553647,sitting
24,821,189311.784689,-0.10605977522065757,sitting
25,822,189311.792222,-0.33717516409255066,sitting
26,823,189311.800917,-0.09211073631776068,sitting
27,824,189311.812851,0.14993819849867118,sitting
28,825,189311.821034,-0.09130223551357042,sitting
29,826,189311.829665,-0.33535168518406966,sitting
30,827,189311.840529,-0.10917226054488949,sitting
31,828,189311.852717,0.12170793990490458,sitting
32,829,189311.862807,0.13184981600817847,sitting
33,830,189311.87332,-0.0891242852829266,sitting
34,831,189311.881953,-0.32079853327237573,sitting
35,832,189311.889738,-0.08856018818034816,sitting
36,833,189311.900636,0.1455258575595848,sitting
37,834,189311.919493,0.14104293892390163,sitting
38,835,189311.928218,0.13397784512061395,sitting
39,836,189311.942807,0.13491390114057933,sitting
40,837,189311.954213,-0.08120630954635888,sitting
41,838,189311.962702,-0.2908162604949105,sitting
42,839,189311.97323,-0.05960989030691688,sitting
43,840,189311.983168,0.16109307837207898,sitting
44,841,189311.991679,0.15598673461999613,sitting
45,842,189312.000038,-0.09500154916755066,sitting
46,843,189312.010848,-0.343618649186187,sitting
47,844,189312.022435,-0.1121943541505579,sitting
48,845,189312.035906,0.1202373884471466,sitting
49,846,189312.047325,-0.024442266906959276,sitting
50,847,189312.061865,-0.02448282905869248,sitting
51,848,189312.072071,-0.024523344366177202,sitting
52,849,189312.086567,-0.02456381284792175,sitting
53,850,189312.096261,-0.024604234522433543,sitting
54,851,189312.108011,-0.024644609408219553,sitting
55,852,189312.118321,-0.02468493752378853,sitting
56,853,189312.129898,-0.024725218887647005,sitting
57,854,189312.139478,-0.02476545351830306,sitting
58,855,189312.152431,-0.024805641434263892,sitting
59,856,189312.162714,-0.02484578265403825,sitting
60,857,189312.174259,-0.024885877196132,sitting
61,858,189312.182763,-0.024925925079054112,sitting
62,859,189312.190773,-0.024965926321311338,sitting
63,860,189312.203315,-0.025005880941412206,sitting
64,861,189312.211591,-0.02504578895786347,sitting
65,862,189312.222148,-0.025085650389172764,sitting
66,863,189312.23209,-0.025125465253847956,sitting
67,864,189312.24638,-0.025165233570396683,sitting
68,865,189312.255098,-0.025204955357326364,sitting
69,866,189312.268757,-0.02524463063314486,sitting
70,867,189312.276741,-0.025284259416359367,sitting
71,868,189312.290046,-0.02532384172547797,sitting
72,869,189312.300358,-0.02536337757900764,sitting
73,870,189312.313838,-0.025402866995456463,sitting
74,871,189312.323175,-0.025442309993331635,sitting
75,872,189312.331354,-0.02548170659114124,sitting
76,873,189312.341627,-0.025521056807392695,sitting
77,874,189312.350771,-0.025560360660593417,sitting
78,875,189312.358342,-0.02559961816925105,sitting
79,876,189312.368585,-0.025638829351873227,sitting
80,877,189312.378711,-0.025677994226968037,sitting
81,878,189312.391902,-0.02571711281304201,sitting
82,879,189312.402222,-0.025756185128603448,sitting
83,880,189312.413126,-0.025795211192159995,sitting
84,881,189312.420133,-0.025834191022218844,sitting
85,882,189312.431234,-0.025873124637287637,sitting
86,883,189312.438833,-0.025912012055874234,sitting
87,884,189312.447217,-0.02595085329648672,sitting
88,885,189312.458276,-0.025989648377631402,sitting
89,886,189312.469258,-0.026028397317817253,sitting
90,887,189312.480832,-0.026067100135550803,sitting
91,888,189312.489685,-0.026105756849340134,sitting
92,889,189312.502309,-0.026144367477692665,sitting
93,890,189312.510391,-0.026182932039116036,sitting
94,891,189312.522752,-0.02622145055211811,sitting
95,892,189312.534864,-0.026259923035205857,sitting
96,893,189312.545152,-0.026298349506887142,sitting
97,894,189312.558755,-0.02633672998567005,sitting
98,895,189312.574181,-0.026375064490061773,sitting
99,896,189312.584882,-0.026413353038569953,sitting
100,897,189312.596939,-0.026451595649701787,sitting
101,898,189312.609512,-0.026489792341965357,sitting
102,899,189312.620483,-0.026527943133868304,sitting
103,900,189312.630169,-0.026566048043918267,sitting
104,901,189312.642979,-0.026604107090622664,sitting
105,902,189312.652982,-0.026642120292488247,sitting
106,903,189312.665565,-0.02668008766802421,sitting
107,904,189312.675647,-0.02671800923573664,sitting
108,905,189312.688441,-0.026755885014134284,sitting
109,906,189312.697318,-0.02679371502172434,sitting
110,907,189312.709816,-0.026831499277014226,sitting
111,908,189312.718721,-0.026869237798511802,sitting
112,909,189312.728079,-0.026906930604724044,sitting
113,910,189312.740314,-0.02694457771415948,sitting
114,911,189312.751172,-0.026982179145325524,sitting
115,912,189312.761118,-0.027019734916729155,sitting
