,Diameter,Dia_Spline3_Base,Event
2,2.7237730099684287,-0.3296202397854686,default
3,2.767154891485244,-0.33457279261027884,default
4,2.720889276846298,-0.33715027163262157,default
5,2.759728708518004,-0.3440519502564392,default
6,2.700708745318268,-0.362080595011387,default
7,2.707794661026242,-0.35960181127829305,default
8,2.7625579277424053,-0.3331891341350266,default
9,2.751596187175171,-0.3310018348740069,default
10,2.7275055986375545,-0.34101164122261185,default
11,2.7466092908856035,-0.3386096177941993,default
12,2.7421005886407714,-0.33166407101447826,default
13,2.75979648800127,-0.3570199035492445,default
14,2.6274900613860392,-0.41667005686233205,default
15,2.635806402003653,-0.45307985418713415,default
16,2.605840958084448,-0.4485605507904209,default
17,2.675532718892097,-0.4444132525881539,default
18,2.582703834005072,-0.46260195352228095,default
19,2.625915039234964,-0.4609410155215925,default
20,2.63896526566496,-0.4462479574558791,default
21,2.628425839837928,-0.45656695282672155,default
22,2.595178483578628,-0.49569015782111014,default
23,2.515719801946706,-0.535178239417863,default
24,2.549932195082837,-0.539388714809157,default
25,2.544124188877322,-0.5327832718663652,default
26,2.547949579923388,-0.5228369412783258,default
27,2.58589212638893,-0.501676629364102,default
28,2.5908228900686745,-0.4883526282302957,default
29,2.5963148207788693,-0.46970679649050817,default
30,2.6549835226378837,-0.4440266337162999,default
31,2.6348748393064936,-0.44373905704487315,default
32,2.6175738107959674,-0.46534129112927314,default
33,2.585875614810809,-0.47936308868674216,default
34,2.6104858450617763,-0.4757162860526756,default
35,2.607550791081265,-0.4656472513234271,default
36,2.629086807708316,-0.4435377247268222,default
37,2.6773879348211445,-0.4102003863517325,default
38,2.6925990174687957,-0.35826604203163237,default
39,2.821613102341064,-0.3243918550725642,default
40,2.6838705977851496,-0.34142547203707396,default
41,2.762207054166672,-0.34349145857592456,default
42,2.735012699804138,-0.3309693678234158,default
43,2.761153315157719,-0.31722581364471436,default
44,2.791040655527898,-0.31236082201355186,default
45,2.724585325958606,-0.3321727858787873,default
46,2.748360789266072,-0.33638838988093367,default
47,2.7504027762118453,-0.3360688875003821,default
48,2.7238213485350404,-0.3360503981739664,default
49,2.775016174248538,-0.314346463764283,default
