Filename,Max level value,IPA 2,IPA 3,IPA 4,IPA 5,IPA 6,IPA 7,IPA 8,IPA 9,LHIPA 2,LHIPA 3,LHIPA 4,LHIPA 5,LHIPA 6,LHIPA 7,LHIPA 8,LHIPA 9
05-09-19-30-lowlux-nothing,6,0.14540880566063355,,,,,,,,7.1831949996352975,3.6061383803837117,1.9193962347203628,0.8142893116995479,0.49438993924615404,,,
05-09-19-33-lowlux-ONEBACK,8,0.14139754589586084,,,,,,,,6.579144635507408,3.4101761069001735,1.7134055561498431,0.8982902915737042,0.39092262688855645,0.16635005399513042,0.09981003239707824,
05-09-19-36-lowlux-TWOBACK,7,0.17690883304033778,,,,,,,,7.098466925743554,3.460779046351608,1.7359179242083145,0.8182033528115623,0.42015847847080223,0.21007923923540112,,
05-10-13-15-lowlux-nothing,7,0.1208449722146605,,,,,,,,7.1298533606649706,3.323236735903164,1.7925337545174642,0.8257739768001802,0.4430982314537552,0.2014082870244342,,
05-10-13-17-lowlux-ONEBACK,7,0.29444030233626134,,,,,,,,5.696287387505364,3.0236754124531453,1.494850765707173,0.8719962799958509,0.45298508051732517,0.20384328623279632,,
05-10-13-19-lowlux-TWOBACK,8,0.13578694919045606,,,,,,,,6.585667035737119,3.4059893088606064,1.7312836021783147,0.927877486134783,0.4752543221665962,0.2036804237856841,0.11315579099204671,
05-10-13-21-lowlux-THREEBACK,7,0.37259072253852227,,,,,,,,5.588860838077834,2.86781950075105,1.3435847267298227,0.7790533289441829,0.41775323436137346,0.19194067524711753,,
05-10-13-28-highlux-nothing,6,0.19689312978086174,,,,,,,,5.365337786528482,3.1256784352711797,1.5259217558016784,0.8121841603460546,0.41839790078433114,,,
05-10-13-30-highlux-ONEBACK,7,0.22921323561048085,,,,,,,,5.87222479802089,2.936112399010445,1.5280882374032057,0.7312993707572484,0.349277311406447,0.18555357168467498,,
05-10-13-33-highlux-TWOBACK,8,0.3145350999153893,,,,,,,,5.596874572023839,3.13609996680344,1.6281816936796623,0.8510949762416417,0.4255474881208208,0.22202477641086302,0.12026342055588414,
05-10-13-36-highlux-THREEBACK,8,0.2549804188895427,,,,,,,,6.6294908911281105,3.469950917931603,1.8402934580723518,0.9534050445435076,0.5099608377790854,0.23280820855132162,0.13303326202932664,
06-10-13-59-middlelux-nothing,6,0.3211466265864836,,,,,,,,6.130981053014686,3.2114662658648356,1.5765379850609194,0.9050495840164537,0.5255126616869731,,,
06-10-14-01-middlelux-ONEBACK,8,0.22801487126015849,,,,,,,,6.514710607433099,3.3767916648528233,1.8132611190688792,0.8903437830158569,0.48860329555748244,0.22801487126015849,0.10857851012388499,
06-10-14-03-middlelux-TWOBACK,8,0.25558123579016434,,,,,,,,6.400643122397159,3.1780971059124785,1.711283057029796,0.855641528514898,0.4556013333650756,0.23335678050406308,0.11112227643050623,
06-10-14-05-middlelux-THREEBACK,7,0.2718179126396742,,,,,,,,5.139829620822931,2.446361213757068,1.4826431598527685,0.8154537379190226,0.4571483076212703,0.234751833643355,,
08-09-12-18-highlux-nothing,6,0.39756735264953047,,,,,,,,5.74943556139321,3.2111209252462074,1.559687306548158,0.7951347052990609,0.27523893644967495,,,
08-09-12-20-highlux-ONEBACK,7,0.2656807124511889,,,,,,,,5.995143033137698,3.0726551961746194,1.5825329393831686,0.8316961433254609,0.3696427303668715,0.20792403583136523,,
08-09-12-24-highlux-TWOBACK,7,0.26378542033201907,,,,,,,,6.021188942361305,3.165425043984229,1.651526109904815,0.8028251923148407,0.37847473351985345,0.17203396978175156,,
08-09-12-31-highlux-nothing,7,0.30987655922655655,,,,,,,,6.259506496376443,3.1400824668291065,1.7559671689504872,0.846995928552588,0.4131687456354088,0.24790124738124525,,
08-09-12-56-lowlux-nothing,6,0.2877723868414414,,,,,,,,7.893185467650964,3.8232617108934357,2.137737730822136,1.0277585244337193,0.4111034097734877,,,
08-09-12-59-lowlux-ONEBACK,8,0.21043008894019857,,,,,,,,7.9262000167474795,3.8929566453936735,1.9055613609584647,0.9469354002308935,0.502694101357141,0.2805734519202647,0.12859616546345468,
