left,right,isBlink,Luminance,Labels,PID,Averaged Sampling Rate
45.81670379638672,48.485294342041016,0,lowlux,nothing,07,162.18454632690705
45.81670379638672,48.399465560913086,0,lowlux,nothing,07,162.18454632690705
45.532636642456055,48.31363677978516,0,lowlux,nothing,07,162.18454632690705
45.24856948852539,48.28314971923828,0,lowlux,nothing,07,162.18454632690705
44.92527961730957,48.252662658691406,0,lowlux,nothing,07,162.18454632690705
44.60198974609375,48.27235412597656,0,lowlux,nothing,07,162.18454632690705
44.59463119506836,48.29204559326172,0,lowlux,nothing,07,162.18454632690705
44.58727264404297,48.34562301635742,0,lowlux,nothing,07,162.18454632690705
44.88087463378906,48.399200439453125,0,lowlux,nothing,07,162.18454632690705
45.17447662353516,48.32687759399414,0,lowlux,nothing,07,162.18454632690705
44.982797622680664,48.25455474853516,0,lowlux,nothing,07,162.18454632690705
44.79111862182617,48.323631286621094,0,lowlux,nothing,07,162.18454632690705
45.09050369262695,48.39270782470703,0,lowlux,nothing,07,162.18454632690705
45.38988876342773,48.230960845947266,0,lowlux,nothing,07,162.18454632690705
45.42368507385254,48.0692138671875,0,lowlux,nothing,07,162.18454632690705
45.457481384277344,48.10793495178223,0,lowlux,nothing,07,162.18454632690705
45.26284408569336,48.14665603637695,0,lowlux,nothing,07,162.18454632690705
45.068206787109375,48.23381551106771,0,lowlux,nothing,07,162.18454632690705
44.87330627441406,48.32097498575846,0,lowlux,nothing,07,162.18454632690705
45.063350677490234,48.40813446044922,0,lowlux,nothing,07,162.18454632690705
45.253395080566406,48.1904182434082,0,lowlux,nothing,07,162.18454632690705
45.33954620361328,47.97270202636719,0,lowlux,nothing,07,162.18454632690705
45.42569732666016,48.33093452453613,0,lowlux,nothing,07,162.18454632690705
45.33267593383789,48.68916702270508,0,lowlux,nothing,07,162.18454632690705
45.239654541015625,48.498361587524414,0,lowlux,nothing,07,162.18454632690705
45.12068176269531,48.30755615234375,0,lowlux,nothing,07,162.18454632690705
45.001708984375,48.362274169921875,0,lowlux,nothing,07,162.18454632690705
45.18125915527344,48.4169921875,0,lowlux,nothing,07,162.18454632690705
45.36080932617188,48.38027763366699,0,lowlux,nothing,07,162.18454632690705
45.35465049743652,48.343563079833984,0,lowlux,nothing,07,162.18454632690705
45.34849166870117,48.26067543029785,0,lowlux,nothing,07,162.18454632690705
45.308658599853516,48.17778778076172,0,lowlux,nothing,07,162.18454632690705
45.26882553100586,48.17243957519531,0,lowlux,nothing,07,162.18454632690705
44.963640213012695,48.167091369628906,0,lowlux,nothing,07,162.18454632690705
44.65845489501953,48.113792419433594,0,lowlux,nothing,07,162.18454632690705
45.0057487487793,48.06049346923828,0,lowlux,nothing,07,162.18454632690705
45.35304260253906,48.071306228637695,0,lowlux,nothing,07,162.18454632690705
45.34598159790039,48.08211898803711,0,lowlux,nothing,07,162.18454632690705
45.33892059326172,48.01838938395182,0,lowlux,nothing,07,162.18454632690705
45.25480270385742,47.95465977986654,0,lowlux,nothing,07,162.18454632690705
45.043819427490234,47.89093017578125,0,lowlux,nothing,07,162.18454632690705
44.83283615112305,48.12786102294922,0,lowlux,nothing,07,162.18454632690705
44.62185287475586,48.29425239562988,0,lowlux,nothing,07,162.18454632690705
44.7467098236084,48.46064376831055,0,lowlux,nothing,07,162.18454632690705
44.87156677246094,48.35200309753418,0,lowlux,nothing,07,162.18454632690705
44.990312576293945,48.24336242675781,0,lowlux,nothing,07,162.18454632690705
45.10905838012695,48.17814826965332,0,lowlux,nothing,07,162.18454632690705
45.0623779296875,48.11293411254883,0,lowlux,nothing,07,162.18454632690705
45.01569747924805,48.13352394104004,0,lowlux,nothing,07,162.18454632690705
45.29213523864746,48.15411376953125,0,lowlux,nothing,07,162.18454632690705
45.05670928955078,48.201674143473305,0,lowlux,nothing,07,162.18454632690705
45.26171875,48.24923451741537,0,lowlux,nothing,07,162.18454632690705
45.194252014160156,48.29679489135742,0,lowlux,nothing,07,162.18454632690705
45.12678527832031,48.3592414855957,0,lowlux,nothing,07,162.18454632690705
45.078572591145836,48.421688079833984,0,lowlux,nothing,07,162.18454632690705
45.03035990397136,48.19591522216797,0,lowlux,nothing,07,162.18454632690705
44.98214721679688,47.98379389444987,0,lowlux,nothing,07,162.18454632690705
45.05104064941406,48.19015630086263,0,lowlux,nothing,07,162.18454632690705
45.06351089477539,48.39651870727539,0,lowlux,nothing,07,162.18454632690705
45.07598114013672,48.40478515625,0,lowlux,nothing,07,162.18454632690705
45.08845138549805,48.33267593383789,0,lowlux,nothing,07,162.18454632690705
44.979576110839844,48.26056671142578,0,lowlux,nothing,07,162.18454632690705
44.87070083618164,48.14042536417643,0,lowlux,nothing,07,162.18454632690705
44.76139450073242,48.02028401692708,0,lowlux,nothing,07,162.18454632690705
44.97271919250488,47.90014266967773,0,lowlux,nothing,07,162.18454632690705
45.184043884277344,47.7954978942871,0,lowlux,nothing,07,162.18454632690705
45.141170501708984,47.69085311889648,0,lowlux,nothing,07,162.18454632690705
45.09829711914063,47.667457580566406,0,lowlux,nothing,07,162.18454632690705
45.22818946838379,47.64406204223633,0,lowlux,nothing,07,162.18454632690705
45.35808181762695,47.800485610961914,0,lowlux,nothing,07,162.18454632690705
45.44069862365723,47.9569091796875,0,lowlux,nothing,07,162.18454632690705
45.5233154296875,48.137372970581055,0,lowlux,nothing,07,162.18454632690705
45.13885688781738,48.31783676147461,0,lowlux,nothing,07,162.18454632690705
44.75439834594727,48.39189656575521,0,lowlux,nothing,07,162.18454632690705
45.39837265014648,48.465956370035805,0,lowlux,nothing,07,162.18454632690705
44.93577575683594,48.540016174316406,0,lowlux,nothing,07,162.18454632690705
44.47317886352539,48.622337341308594,0,lowlux,nothing,07,162.18454632690705
44.57968330383301,48.70465850830078,0,lowlux,nothing,07,162.18454632690705
44.68618774414063,48.60126495361328,0,lowlux,nothing,07,162.18454632690705
44.58273124694824,48.49787139892578,0,lowlux,nothing,07,162.18454632690705
44.47927474975586,48.43492317199707,0,lowlux,nothing,07,162.18454632690705
44.67758750915527,48.37197494506836,0,lowlux,nothing,07,162.18454632690705
44.87590026855469,48.42664337158203,0,lowlux,nothing,07,162.18454632690705
44.90060043334961,48.4813117980957,0,lowlux,nothing,07,162.18454632690705
44.92530059814453,48.53210258483887,0,lowlux,nothing,07,162.18454632690705
44.782339096069336,48.58289337158203,0,lowlux,nothing,07,162.18454632690705
44.63937759399414,48.463619232177734,0,lowlux,nothing,07,162.18454632690705
44.83494186401367,48.34434509277344,0,lowlux,nothing,07,162.18454632690705
45.0305061340332,48.141611099243164,0,lowlux,nothing,07,162.18454632690705
44.94211959838867,47.93887710571289,0,lowlux,nothing,07,162.18454632690705
44.85373306274414,47.98409843444824,0,lowlux,nothing,07,162.18454632690705
45.00054931640625,48.0293197631836,0,lowlux,nothing,07,162.18454632690705
45.14736557006836,48.11742973327637,0,lowlux,nothing,07,162.18454632690705
44.81474685668945,48.20553970336914,0,lowlux,nothing,07,162.18454632690705
44.48212814331055,48.237623850504555,0,lowlux,nothing,07,162.18454632690705
44.700950622558594,48.269707997639976,0,lowlux,nothing,07,162.18454632690705
44.79617118835449,48.30179214477539,0,lowlux,nothing,07,162.18454632690705
44.89139175415039,48.19878959655762,0,lowlux,nothing,07,162.18454632690705
44.79720497131348,48.09578704833984,0,lowlux,nothing,07,162.18454632690705
44.70301818847656,48.256717681884766,0,lowlux,nothing,07,162.18454632690705
44.931833267211914,48.41764831542969,0,lowlux,nothing,07,162.18454632690705
