,index,Timestamp,Dia_Spline3_Base,Event
0,1540,-872257.142604,-2.464659447147639,sitting
1,1541,-872257.133694,-2.269764894916804,sitting
2,1542,-872257.125015,-2.3072650379679516,sitting
3,1543,-872257.115857,-2.3608190960429027,sitting
4,1544,-872257.107337,-2.3450572437784984,sitting
5,1545,-872257.099649,-2.3899276203654125,sitting
6,1546,-872257.092568,-2.348606104328425,sitting
7,1547,-872257.083422,-2.3695650047800854,sitting
8,1548,-872257.07585,-2.45660256810406,sitting
9,1549,-872257.067759,-2.4026751465342358,sitting
10,1550,-872257.058799,-2.4405610508463695,sitting
11,1551,-872257.048471,-2.551609034015925,sitting
12,1552,-872257.042973,-2.6087508148691967,sitting
13,1553,-872257.035715,-2.6555578655741527,sitting
14,1554,-872257.026694,-2.579112047626765,sitting
15,1555,-872257.017803,-2.4656491226694897,sitting
16,1556,-872257.008825,-2.4640271610758617,sitting
17,1557,-872256.999848,-2.5753288216135815,sitting
18,1558,-872256.990963,-2.813275570347102,sitting
19,1559,-872256.983124,-2.984093899204524,sitting
20,1560,-872256.976289,-2.8983263916514233,sitting
21,1561,-872256.968792,-2.78130959935406,sitting
22,1562,-872256.959731,-2.7602448410532787,sitting
23,1563,-872256.950745,-2.6970863289378,sitting
24,1564,-872256.941926,-2.643504375889094,sitting
25,1565,-872256.934308,-2.679425472690852,sitting
26,1566,-872256.925365,-2.7512624210856274,sitting
27,1567,-872256.918599,-2.798791403248103,sitting
28,1568,-872256.910301,-2.8471980042002514,sitting
29,1569,-872256.90253,-3.025478119327815,sitting
30,1570,-872256.894224,-3.197538608982356,sitting
31,1571,-872256.886453,-3.1950404591105297,sitting
32,1572,-872256.876556,-3.2089629120371654,sitting
33,1573,-872256.869021,-3.2911467499277904,sitting
34,1574,-872256.858522,-3.319327110721858,sitting
35,1575,-872256.848761,-3.325231546833308,sitting
36,1576,-872256.841548,-3.282206768467219,sitting
37,1577,-872256.834014,-3.156267637684138,sitting
38,1578,-872256.825521,-3.1442396587870434,sitting
39,1579,-872256.817696,-3.273227447941096,sitting
40,1580,-872256.810636,-3.323083395435603,sitting
41,1581,-872256.802506,-3.2499926037333324,sitting
42,1582,-872256.794304,-3.2236750072977856,sitting
43,1583,-872256.78651,-3.2684929317972973,sitting
44,1584,-872256.778122,-3.3001372761271313,sitting
45,1585,-872256.770576,-3.303063625767024,sitting
46,1586,-872256.762399,-3.271309132053645,sitting
47,1587,-872256.754358,-3.2793571896097973,sitting
48,1588,-872256.745488,-3.315757030918391,sitting
49,1589,-872256.738317,-3.314869636966975,sitting
50,1590,-872256.729594,-3.3331391758463695,sitting
51,1591,-872256.7209910001,-3.379031176044734,sitting
52,1592,-872256.712168,-3.370355600788386,sitting
53,1593,-872256.704516,-3.357214445545466,sitting
54,1594,-872256.696036,-3.3317968792460277,sitting
55,1595,-872256.687957,-3.2692041344187572,sitting
56,1596,-872256.680013,-3.2798817104838207,sitting
57,1597,-872256.67142,-3.276549334003718,sitting
58,1598,-872256.662472,-3.2684421486399486,sitting
59,1599,-872256.65412,-3.4326503223917797,sitting
60,1600,-872256.647045,-3.6311178154490307,sitting
61,1601,-872256.641971,-3.625419134571345,sitting
62,1602,-872256.6345020001,-3.57012533612469,sitting
63,1603,-872256.62665,-3.5989165253184154,sitting
64,1604,-872256.618422,-3.638818735554011,sitting
65,1605,-872256.610539,-3.7976074165842846,sitting
66,1606,-872256.602472,-3.960530514194758,sitting
67,1607,-872256.594434,-4.009844774677546,sitting
68,1608,-872256.586248,-4.052795643284114,sitting
69,1609,-872256.578367,-3.9807450718424633,sitting
70,1610,-872256.5705500001,-3.8522405571482494,sitting
71,1611,-872256.561304,-3.8531982845805004,sitting
72,1612,-872256.5521120001,-3.916520828678401,sitting
73,1613,-872256.545167,-3.9728679604075268,sitting
74,1614,-872256.538273,-4.02294516034344,sitting
75,1615,-872256.52966,-4.013577217533381,sitting
76,1616,-872256.521018,-3.945557112171443,sitting
77,1617,-872256.512444,-3.8705673164866283,sitting
78,1618,-872256.5048850001,-3.7955367512247875,sitting
79,1619,-872256.495798,-3.686723942234309,sitting
80,1620,-872256.48835,-3.6417865700266674,sitting
81,1621,-872256.480938,-3.703823322727473,sitting
82,1622,-872256.4728410001,-3.634937519504817,sitting
83,1623,-872256.464228,-3.5719268269083813,sitting
84,1624,-872256.45725,-3.6571249908945873,sitting
85,1625,-872256.448183,-3.6385166592142895,sitting
86,1626,-872256.440431,-3.5359616226694897,sitting
87,1627,-872256.431018,-3.483296627476008,sitting
88,1628,-872256.422642,-3.5001664108774975,sitting
89,1629,-872256.415989,-3.47154020734051,sitting
90,1630,-872256.410043,-3.3213775105021313,sitting
91,1631,-872256.40178,-3.215283388569148,sitting
92,1632,-872256.390415,-3.1097154564402416,sitting
93,1633,-872256.3810480001,-3.0238668865702465,sitting
94,1634,-872256.372463,-3.1718206352732494,sitting
95,1635,-872256.362944,-3.330206150486262,sitting
96,1636,-872256.35503,-3.280506367161067,sitting
97,1637,-872256.346866,-3.071792835666926,sitting
98,1638,-872256.337729,-2.9096393532297924,sitting
99,1639,-872256.330278,-3.0533823914072826,sitting
100,1640,-872256.32489,-3.2114040798685863,sitting
101,1641,-872256.318529,-3.097537750675471,sitting
102,1642,-872256.310494,-3.0462343639872387,sitting
103,1643,-872256.302524,-3.1559710449717358,sitting
104,1644,-872256.294413,-3.078743452503474,sitting
105,1645,-872256.285788,-2.944910044147761,sitting
106,1646,-872256.276937,-3.0552864021799877,sitting
107,1647,-872256.270385,-3.1395783371470287,sitting
108,1648,-872256.261727,-2.998921627476008,sitting
109,1649,-872256.254233,-2.8289673275492504,sitting
110,1650,-872256.243311,-2.825595135166438,sitting
111,1651,-872256.235281,-2.8957066483042553,sitting
112,1652,-872256.225278,-2.8904111332438305,sitting
113,1653,-872256.216277,-2.8739435619852856,sitting
114,1654,-872256.20733,-2.8948967403910473,sitting
115,1655,-872256.199363,-2.881156200840266,sitting
116,1656,-872256.1934560001,-2.7532701439402416,sitting
117,1657,-872256.187797,-2.629750008060725,sitting
118,1658,-872256.1811630001,-2.577597851230891,sitting
119,1659,-872256.174626,-2.5794413036845043,sitting
120,1660,-872256.166291,-2.6146051830790356,sitting
121,1661,-872256.15806,-2.594574922992976,sitting
122,1662,-872256.149545,-2.5559642262003734,sitting
123,1663,-872256.142519,-2.52060985036114,sitting
124,1664,-872256.1338760001,-2.472152704670222,sitting
125,1665,-872256.125638,-2.4867594189188793,sitting
126,1666,-872256.11795,-2.5763244575999096,sitting
127,1667,-872256.10961,-2.499892944767268,sitting
128,1668,-872256.099971,-2.3527314610026195,sitting
129,1669,-872256.090601,-2.4611887878916576,sitting
130,1670,-872256.0822150001,-2.597744221164973,sitting
131,1671,-872256.074848,-2.656148189976008,sitting
132,1672,-872256.065328,-2.7144286579630688,sitting
133,1673,-872256.057145,-2.7256581730387524,sitting
134,1674,-872256.048409,-2.717941278888972,sitting
135,1675,-872256.040763,-2.632374996616633,sitting
136,1676,-872256.032932,-2.5950391239664867,sitting
137,1677,-872256.024606,-2.603722805454524,sitting
138,1678,-872256.016348,-2.654469484760554,sitting
139,1679,-872256.008552,-2.814521784260066,sitting
140,1680,-872256.0016750001,-2.748068804218562,sitting
141,1681,-872255.993521,-2.5333650059244945,sitting
142,1682,-872255.985,-2.566277975513728,sitting
143,1683,-872255.976886,-2.683078760578425,sitting
144,1684,-872255.968501,-2.542955393268855,sitting
145,1685,-872255.959763,-2.4246115631602123,sitting
146,1686,-872255.952223,-2.459318632557185,sitting
147,1687,-872255.944135,-2.5154037422678783,sitting
148,1688,-872255.936689,-2.6565554089091137,sitting
149,1689,-872255.9294,-2.6764202065012768,sitting
150,1690,-872255.922289,-2.6324999279520824,sitting
151,1691,-872255.914398,-2.6650488323710277,sitting
152,1692,-872255.905707,-2.736680979206355,sitting
153,1693,-872255.897138,-2.8160893864176586,sitting
154,1694,-872255.888313,-2.7696180290720775,sitting
155,1695,-872255.878812,-2.7739226765177563,sitting
156,1696,-872255.870336,-2.900274509861262,sitting
157,1697,-872255.8626560001,-2.9366691059611156,sitting
158,1698,-872255.854453,-2.9051203674815014,sitting
159,1699,-872255.84771,-2.816987509205134,sitting
160,1700,-872255.837591,-2.766004080250056,sitting
161,1701,-872255.82923,-2.8634428925059154,sitting
162,1702,-872255.821013,-2.962903255893977,sitting
163,1703,-872255.814957,-3.0428938812754467,sitting
164,1704,-872255.806703,-3.0979776329539135,sitting
165,1705,-872255.799656,-3.0156271404764965,sitting
166,1706,-872255.792319,-2.9358913845560863,sitting
167,1707,-872255.783315,-2.989218944980891,sitting
168,1708,-872255.775255,-2.944970602466853,sitting
169,1709,-872255.767673,-2.9063620514414623,sitting
170,1710,-872255.758076,-3.1141807980082348,sitting
171,1711,-872255.749507,-3.1968352741740063,sitting
172,1712,-872255.742645,-3.0173036999247387,sitting
173,1713,-872255.735522,-2.9301261848948315,sitting
174,1714,-872255.727675,-3.0988414234659984,sitting
175,1715,-872255.719277,-3.3365449852488354,sitting
176,1716,-872255.710088,-3.3706798500559643,sitting
177,1717,-872255.700944,-3.171493048145564,sitting
178,1718,-872255.692344,-3.0590746349833324,sitting
179,1719,-872255.6841300001,-3.168976301624568,sitting
180,1720,-872255.677652,-3.3245000786326244,sitting
181,1721,-872255.669665,-3.4035267776987865,sitting
182,1722,-872255.662587,-3.4059264606974438,sitting
183,1723,-872255.654725,-3.468590015842704,sitting
184,1724,-872255.6460000001,-3.4676644749186316,sitting
185,1725,-872255.6383870001,-3.2819802708170727,sitting
186,1726,-872255.631692,-3.189371580555232,sitting
187,1727,-872255.623623,-3.3501133865855053,sitting
188,1728,-872255.614621,-3.482047314121516,sitting
189,1729,-872255.606468,-3.460096115543635,sitting
190,1730,-872255.598443,-3.4876758999369457,sitting
191,1731,-872255.590629,-3.58809613652447,sitting
192,1732,-872255.584241,-3.6402964539072826,sitting
193,1733,-872255.577839,-3.604800219013484,sitting
194,1734,-872255.569888,-3.576482767536433,sitting
195,1735,-872255.5625230001,-3.548782343342097,sitting
196,1736,-872255.55456,-3.481963152363093,sitting
197,1737,-872255.546166,-3.4041609711191967,sitting
198,1738,-872255.536851,-3.2591838783762768,sitting
199,1739,-872255.530155,-3.2645380444071606,sitting
200,1740,-872255.52232,-3.48359870381573,sitting
201,1741,-872255.513179,-3.4827551788828686,sitting
202,1742,-872255.504517,-3.373153442814143,sitting
203,1743,-872255.496821,-3.517912620975764,sitting
204,1744,-872255.489094,-3.7336428112528637,sitting
205,1745,-872255.480927,-3.87339305348614,sitting
206,1746,-872255.4716780001,-3.9742734379313305,sitting
207,1747,-872255.46397,-3.9823672718546703,sitting
208,1748,-872255.45099,-3.900159353687556,sitting
209,1749,-872255.442093,-3.80552458234051,sitting
210,1750,-872255.434039,-3.7423191017649486,sitting
211,1751,-872255.424292,-3.6938776917002514,sitting
212,1752,-872255.415839,-3.567506308033259,sitting
213,1753,-872255.406307,-3.4041347450754955,sitting
214,1754,-872255.39801,-3.4241566605112865,sitting
215,1755,-872255.389598,-3.620820278599055,sitting
216,1756,-872255.38089,-3.7245526260874584,sitting
217,1757,-872255.371908,-3.7370297855875805,sitting
218,1758,-872255.3638020001,-3.7446827835581615,sitting
219,1759,-872255.35662,-3.6818304008982494,sitting
220,1760,-872255.34964,-3.5446207470438793,sitting
221,1761,-872255.3410380001,-3.3515481895945385,sitting
222,1762,-872255.3345550001,-3.253629917576106,sitting
223,1763,-872255.326385,-3.3065819687388256,sitting
224,1764,-872255.318298,-3.4443917221567943,sitting
225,1765,-872255.310489,-3.6745786613962963,sitting
226,1766,-872255.301756,-3.869826788379939,sitting
