Filename,LHIPA,IPA,Low level value
11-10-12-56-highlux-nothing,2.5658,0.2026,0
11-10-12-58-highlux-ONEBACK,2.2869,0.0319,0
11-10-13-00-highlux-TWOBACK,2.2608,0.266,0
11-10-13-03-highlux-THREEBACK,2.3799,0.1707,0
11-10-13-15-middlelux-nothing,3.3498,0.2066,0
11-10-13-18-middlelux-ONEBACK,1.7602,0.1384,0
11-10-13-19-middlelux-TWOBACK,3.1672,0.0892,0
11-10-13-21-middlelux-THREEBACK,3.0868,0.0764,0
11-10-13-39-lowlux-nothing,3.9574,0.1011,0
11-10-13-42-lowlux-ONEBACK,1.8877,0.0773,0
11-10-13-44-lowlux-TWOBACK,1.7484,0.0988,0
11-10-13-48-lowlux-THREEBACK,1.7132,0.0942,0
11-10-14-29-highlux-nothing,2.5631,0.1972,0
11-10-14-32-highlux-ONEBACK,9.5883,0.2115,0
11-10-14-34-highlux-TWOBACK,3.2757,0.101,0
11-10-14-36-highlux-THREEBACK,4.0743,0.0543,0
12-10-11-49-highlux-nothing,3.3862,0.2988,0
12-10-11-51-highlux-ONEBACK,1.598,0.104,0
12-10-11-55-highlux-TWOBACK,1.4557,0.0258,0
12-10-12-01-highlux-THREEBACK,1.4067,0.0233,0
12-10-12-06-middlelux-nothing,3.2589,0.0442,0
12-10-12-09-middlelux-ONEBACK,3.1432,0.22,0
12-10-12-12-middlelux-TWOBACK,1.5832,0.1645,0
12-10-12-15-middlelux-THREEBACK,3.2089,0.1914,0
12-10-12-20-highlux-nothing,2.8525,0.0498,0
12-10-12-22-highlux-ONEBACK,2.4111,0.1863,0
12-10-12-26-highlux-TWOBACK,2.2898,0.2376,0
12-10-12-30-highlux-THREEBACK,1.9931,0.0287,0
23-09-14-58-lowlux-nothing,4.426,0.259,0
23-09-15-01-lowlux-ONEBACK,2.3008,0.0872,0
23-09-15-07-lowlux-TWOBACK,2.3694,0.0608,0
23-09-15-12-lowlux-THREEBACK,2.2524,0.0427,0
23-09-15-16-middlelux-nothing,4.8974,0.1632,0
23-09-15-19-middlelux-ONEBACK,2.3098,0.2446,0
23-09-15-21-middlelux-TWOBACK,2.2717,0.2462,0
23-09-15-23-middlelux-THREEBACK,2.3568,0.1005,0
23-09-15-29-highlux-nothing,4.8181,0.3525,0
