Filename,LHIPA,IPA,Low level value,Max level value
12-10-11-55-highlux-TWOBACK,1.4557,0.0258,4,8
12-10-12-01-highlux-THREEBACK,1.4067,0.0233,4,8
12-10-12-06-middlelux-nothing,3.2589,0.0442,3,7
12-10-12-09-middlelux-ONEBACK,3.1432,0.22,3,7
12-10-12-12-middlelux-TWOBACK,1.5832,0.1645,4,8
12-10-12-15-middlelux-THREEBACK,3.2089,0.1914,3,7
12-10-12-20-highlux-nothing,2.8525,0.0498,3,7
12-10-12-22-highlux-ONEBACK,2.4111,0.1863,3,7
12-10-12-26-highlux-TWOBACK,2.2898,0.2376,3,7
12-10-12-30-highlux-THREEBACK,1.9931,0.0287,3,7
23-09-14-58-lowlux-nothing,4.426,0.259,3,7
23-09-15-01-lowlux-ONEBACK,2.3008,0.0872,4,8
23-09-15-07-lowlux-TWOBACK,2.3694,0.0608,4,8
23-09-15-12-lowlux-THREEBACK,2.2524,0.0427,4,8
23-09-15-16-middlelux-nothing,4.8974,0.1632,3,6
23-09-15-19-middlelux-ONEBACK,2.3098,0.2446,4,8
23-09-15-21-middlelux-TWOBACK,2.2717,0.2462,4,8
23-09-15-23-middlelux-THREEBACK,2.3568,0.1005,4,8
23-09-15-29-highlux-nothing,4.8181,0.3525,3,7
23-09-15-31-highlux-ONEBACK,2.1272,0.3054,4,8
23-09-15-34-highlux-TWOBACK,1.9985,0.2779,4,8
23-09-15-36-highlux-THREEBACK,2.2376,0.2437,4,8
26-09-11-12-lowlux-nothing,4.6549,0.2252,3,7
26-09-11-14-middlelux-nothing,4.4218,0.3458,3,7
26-09-11-16-highlux-nothing,4.8322,0.2313,3,7
26-09-11-19-lowlux-ONEBACK,2.3254,0.4822,4,8
26-09-11-23-middlelux-ONEBACK,2.1802,0.4088,4,8
26-09-11-26-highlux-ONEBACK,2.0136,0.4159,4,8
26-09-11-29-lowlux-TWOBACK,2.1453,0.3519,4,8
26-09-11-33-middlelux-TWOBACK,2.1897,0.0327,4,8
26-09-11-36-highlux-TWOBACK,2.0586,0.2925,4,8
26-09-11-43-lowlux-THREEBACK,1.7243,0.2195,4,8
26-09-11-47-middlelux-THREEBACK,2.1089,0.2623,4,8
26-09-11-50-highlux-THREEBACK,1.8228,0.3404,4,8
26-09-13-25-lowlux-nothing,4.635,0.364,3,7
26-09-13-27-middlelux-nothing,3.1459,0.0963,3,6
26-09-13-28-highlux-nothing,3.4115,0.0731,3,7
26-09-13-32-lowlux-ONEBACK,2.1248,0.267,4,8
26-09-13-35-middlelux-ONEBACK,1.7247,0.0338,4,8
26-09-13-39-highlux-ONEBACK,1.4264,0.0324,4,8
26-09-13-44-lowlux-TWOBACK,2.1462,0.2446,4,8
26-09-13-48-middlelux-TWOBACK,1.6367,0.0321,4,8
26-09-13-54-highlux-TWOBACK,1.6934,0.292,4,8
26-09-14-00-lowlux-THREEBACK,2.0355,0.1446,4,8
26-09-14-02-middlelux-THREEBACK,1.3313,0.0347,4,8
26-09-14-05-highlux-THREEBACK,1.3291,0.0335,4,8
26-09-14-19-lowlux-nothing,3.4078,0.202,3,7
26-09-14-22-middlelux-nothing,3.5277,0.071,3,7
26-09-14-24-highlux-nothing,2.9539,0.0676,3,7
26-09-14-28-lowlux-ONEBACK,1.8592,0.2128,4,8
26-09-14-31-middlelux-ONEBACK,2.0252,0.2642,4,8
26-09-14-37-lowlux-TWOBACK,1.8914,0.1446,4,8
26-09-14-40-middlelux-TWOBACK,1.8195,0.3268,4,8
26-09-14-50-lowlux-THREEBACK,2.0478,0.1343,4,8
26-09-14-52-middlelux-THREEBACK,1.8099,0.1788,4,8
